Year,Susceptibility to R6 Strains,Susceptibility to non-R6 Strains,Mildew Incidence,DiseaseinApril,DiseaseinMay,DiseaseinJune,DiseaseinJuly,Flag shoot incidence,Pruning Quality Final,Initial Strain,Annual_costs,Active_ingredient,Weighted_dc_aprmay1,Weighted_dc_aprmay2,Weighted_dc_mayjun1,Weighted_dc_mayjun2,Weighted_dc_junjul1,Weighted_dc_junjul2,Monthly_cost_June,Monthly_cost_July,Quadrant,Synthetic,Nonsynthetic,Mixture,SyntheticinApril,SyntheticinMay,SyntheticinJune,SyntheticinJuly,NonsyntheticinApril,NonsyntheticinMay,NonsyntheticinJune,NonsyntheticinJuly,MixtureinApril,MixtureinMay,MixtureinJune,MixtureinJuly,Monthly_ingredient_June,Monthly_ingredient_July
2014,4,4,0.6,0.03,0.38,1,0.99,0.02,5,1,681.5423949,8,9.83E-08,2.91E-09,0.095437193,281.3740149,5.979425084,7.391318329,36.04928117,121.6627831,NorthEast,3,5,2,0,0,0,2,1,1,1,1,0,0,0,1,1,3
2014,2,0,0.045,0,0.01,0.08,0.09,0,2,2,161.6129119,5,8.97E-19,3.54E-22,0.006229996,42.07541524,1.080056911,1.498757291,134.8795338,0,NorthEast,1,4,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0
2014,4,0,0.135,0,0,0.12,0.42,0,5,0,1131.950133,13,2.73E-25,5.58E-26,0.002837135,3.490225765,0.576191435,0.519090944,89.5160374,116.7022578,SouthEast,5,8,4,0,0,1,1,0,2,1,2,0,0,0,1,2,3
2014,4,0,0.3425,0,0,0.55,0.82,0,5,0,1131.950133,13,3.65E-25,6.78E-26,0.003584394,5.394458175,0.888908703,0.90536169,89.5160374,116.7022578,SouthEast,5,8,4,0,0,1,1,0,2,1,2,0,0,0,1,2,3
2014,1,1,0,0,0,0,0,0,5,0,98.14103417,4,1.24E-26,9.59E-27,0.004021278,8.585094431,0.669538413,0.491325374,18.02464059,44.06711242,SouthEast,1,3,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
2014,3,3,0.3475,0,0.12,0.88,0.39,0,2,2,676.5237332,10,1.29E-09,1.01E-16,0.005506363,80.27641081,2.587277174,2.941342064,18.02464059,303.8756968,NorthEast,6,4,3,0,0,3,1,0,1,2,1,0,0,2,1,5,2
2014,5,0,0.4375,0.03,0.07,0.94,0.71,0.03,4,2,1733.358983,17,1.29E-09,1.01E-16,0.000563395,18.62105062,0.245778945,0.925154568,6.356478492,401.3594129,NorthEast,8,9,5,0,0,3,3,0,1,2,3,0,0,1,3,5,6
2014,4,0,0.295,0,0,0.82,0.36,0,2,0,1249.933725,12,6.58E-121,5.63E-81,0.002837858,20.62413728,1.782903477,3.491032133,89.5160374,147.9000991,NorthEast,5,7,2,0,0,1,1,0,2,2,1,0,0,0,0,3,2
2014,4,4,0.1525,0,0,0.47,0.14,0,4,0,1408.945203,15,1.46E-123,1.55E-82,0.00132603,9.527720177,0.228301342,0.520134344,126.1724841,70.50737987,NorthEast,7,8,4,0,0,1,4,0,4,0,3,0,0,0,3,1,7
2014,3,3,0.4825,0,0.06,0.87,1,0.01,4,2,792.2541997,10,9.92E-125,3.30E-83,0.047123765,121.385811,9.160026188,8.320706115,108.1478435,143.5865834,NorthEast,4,6,2,0,0,1,1,0,4,1,1,0,0,1,1,2,2
2014,4,0,0,0,0,0,0,0,1,0,181.0814462,6,4.83E-85,4.50E-59,0.00000357,8.47E-08,0.035086802,0.003517982,6.356478492,12.71295698,NorthWest,2,4,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1
2014,4,0,0,0,0,0,0,0,1,0,181.0814462,6,3.64E-109,1.30E-72,0.00000024,6.66E-11,0.003962229,0.0000602,6.356478492,12.71295698,NorthWest,2,4,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1
2014,3,3,0.0025,0,0,0,0.01,0,3,0,168.3684892,4,7.83E-88,9.74E-61,0.00000304,4.28E-08,0.040296389,0.004718068,6.356478492,6.356478492,NorthWest,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
2014,4,4,0,0,0,0,0,0,2,0,177.1819117,4,1.13E-79,5.06E-56,0.00000584,0.000000377,0.021294053,0.001004063,6.356478492,0,NorthWest,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2014,4,4,0,0,0,0,0,0,2,0,177.1819117,4,3.09E-82,1.81E-57,0.00000465,0.000000185,0.026544225,0.001857707,6.356478492,0,NorthWest,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2014,3,3,0.01,0,0,0.02,0.02,0,5,2,170.8254332,3,4.15E-103,1.65E-69,0.000000963,7.87E-10,0.121457577,0.011152944,0,6.356478492,NorthWest,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2014,4,0,0,0,0,0,0,0,1,0,174.7249677,5,1.07E-84,6.34E-59,0.00000363,9.16E-08,0.001304465,0.00000108,6.356478492,12.71295698,NorthWest,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
2014,3,3,0,0,0,0,0,0,3,0,168.3684892,4,4.85E-90,5.26E-62,0.00000255,2.39E-08,0.000880029,0.000000482,6.356478492,6.356478492,NorthWest,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
2014,3,3,0,0,0,0,0,0,2,0,168.3684892,4,3.01E-54,1.86E-40,0.00000849,0.0000639,0.00279829,0.0000382,6.356478492,6.356478492,NorthWest,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
2014,1,1,0,0,0,0,0,0,2,0,177.1819117,4,9.13E-54,3.86E-40,0.00000669,0.0000561,0.002580691,0.0000368,6.356478492,6.356478492,NorthWest,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2014,2,2,0.0025,0,0,0,0.01,0,4,0,249.1928613,12,7.50E-27,3.17E-24,0.000233452,0.798643934,2.52251457,1.915253553,12.71295698,86.40063897,NorthEast,2,10,0,0,0,0,0,0,3,7,0,0,0,0,0,7,0
2014,1,1,0,0,0,0,0,0,1,0,94.34623706,9,5.64E-29,7.99E-26,0.0002124,0.315362994,1.608531857,0.929310811,25.97023871,50.35135779,NorthEast,0,9,0,0,0,0,0,0,3,5,1,0,0,0,0,5,1
2014,3,3,0,0,0,0,0,0,5,0,22.79199945,2,1.34E-26,3.51E-24,0.000250216,0.738405549,2.385867194,1.839799739,0,22.79199946,NorthEast,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,1,0,94.34623706,9,6.05E-29,6.42E-26,0.000210815,0.284044926,1.479987454,0.827101932,25.97023871,50.35135779,NorthEast,0,9,0,0,0,0,0,0,3,5,1,0,0,0,0,5,1
2014,1,1,0,0,0,0,0,0,1,0,43.99487929,4,1.63E-22,1.13E-21,0.000318735,2.139106326,3.551031178,4.042442229,3.178239246,22.79199946,NorthEast,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1
2014,1,1,0.0025,0,0,0.01,0,0,3,0,43.99487929,4,3.07E-22,9.87E-22,0.000336849,1.719250862,3.07604345,3.413327714,3.178239246,22.79199946,NorthEast,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1
2014,4,0,0.075,0,0,0.14,0.16,0,4,0,172.6322107,9,6.35E-27,5.98E-24,0.00021923,1.740918141,1.647933906,1.218419012,7.945598115,50.35135779,NorthEast,1,8,0,0,0,0,0,0,2,5,1,0,0,0,0,5,1
2014,4,0,0.0825,0,0,0.08,0.25,0,2,0,172.6322107,9,9.72E-25,1.11E-22,0.000256239,2.905136668,1.849310974,1.65940519,7.945598115,68.37599838,NorthEast,1,8,0,0,0,0,0,0,2,6,0,0,0,0,0,6,0
2014,4,0,0.1175,0,0,0.07,0.4,0,1,0,226.4008618,10,9.02E-22,1.14E-21,0.000344058,1.585221963,2.618929254,2.951778885,7.945598115,68.37599838,NorthEast,2,8,0,0,0,0,0,0,2,6,0,0,0,0,0,6,0
